strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Analytic,caste,9.5,9.2,9.7,Grouped,Schedule Tribe,"9.5 (9.2, 9.7)",1691109,status
Excluded,caste,32.3,31.4,33.2,Grouped,General,"32.3 (31.4, 33.2)",204188,status
Excluded,caste,40.7,39.9,41.5,Grouped,OBC,"40.7 (39.9, 41.5)",204188,status
Excluded,caste,20,19.4,20.6,Grouped,Schedule Caste,"20 (19.4, 20.6)",204188,status
Excluded,caste,7,6.7,7.4,Grouped,Schedule Tribe,"7 (6.7, 7.4)",204188,status
Analytic,religion,82.5,82.1,82.9,Grouped,Hindu,"82.5 (82.1, 82.9)",1691109,status
Analytic,religion,12,11.6,12.4,Grouped,Muslim,"12 (11.6, 12.4)",1691109,status
Analytic,religion,5.5,5.3,5.7,Grouped,Other,"5.5 (5.3, 5.7)",1691109,status
Excluded,religion,77.9,77,78.8,Grouped,Hindu,"77.9 (77, 78.8)",204188,status
Excluded,religion,15.4,14.6,16.2,Grouped,Muslim,"15.4 (14.6, 16.2)",204188,status
Excluded,religion,6.7,6.3,7.2,Grouped,Other,"6.7 (6.3, 7.2)",204188,status
Analytic,wealthq_ur,18.3,18,18.6,Grouped,1,"18.3 (18, 18.6)",1691109,status
Analytic,wealthq_ur,19.5,19.2,19.7,Grouped,2,"19.5 (19.2, 19.7)",1691109,status
Analytic,wealthq_ur,20.4,20.1,20.6,Grouped,3,"20.4 (20.1, 20.6)",1691109,status
Analytic,wealthq_ur,20.9,20.7,21.1,Grouped,4,"20.9 (20.7, 21.1)",1691109,status
Analytic,wealthq_ur,21,20.7,21.3,Grouped,5,"21 (20.7, 21.3)",1691109,status
Excluded,wealthq_ur,15.8,15.3,16.3,Grouped,1,"15.8 (15.3, 16.3)",204188,status
Excluded,wealthq_ur,17.3,16.8,17.8,Grouped,2,"17.3 (16.8, 17.8)",204188,status
Excluded,wealthq_ur,18.4,17.9,18.8,Grouped,3,"18.4 (17.9, 18.8)",204188,status
Excluded,wealthq_ur,21,20.5,21.5,Grouped,4,"21 (20.5, 21.5)",204188,status
Excluded,wealthq_ur,27.6,26.7,28.5,Grouped,5,"27.6 (26.7, 28.5)",204188,status
Analytic,bmi_category,6.4,6.3,6.4,Grouped,Underweight,"6.4 (6.3, 6.4)",697651,status
Analytic,bmi_category,24.3,24.1,24.4,Grouped,Normal,"24.3 (24.1, 24.4)",697651,status
Analytic,bmi_category,7.9,7.9,8,Grouped,Overweight,"7.9 (7.9, 8)",697651,status
Analytic,bmi_category,2.7,2.7,2.8,Grouped,Obese,"2.7 (2.7, 2.8)",697651,status
Analytic,bmi_category,58.7,58.6,58.9,Grouped,NA,"58.7 (58.6, 58.9)",697651,status
Excluded,bmi_category,0.2,0.1,0.2,Grouped,Underweight,"0.2 (0.1, 0.2)",2085,status
Excluded,bmi_category,0.6,0.5,0.6,Grouped,Normal,"0.6 (0.5, 0.6)",2085,status
Excluded,bmi_category,0.2,0.1,0.2,Grouped,Overweight,"0.2 (0.1, 0.2)",2085,status
Excluded,bmi_category,0.1,0.1,0.1,Grouped,Obese,"0.1 (0.1, 0.1)",2085,status
Excluded,bmi_category,99,99,99.1,Grouped,NA,"99 (99, 99.1)",2085,status
