strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Excluded,age_category5,8.6,8.4,8.8,Grouped,"[15,20)","8.6 (8.4, 8.8)",151934,status
Excluded,age_category5,20.3,20,20.6,Grouped,"[20,25)","20.3 (20, 20.6)",151934,status
Excluded,age_category5,19,18.7,19.4,Grouped,"[25,30)","19 (18.7, 19.4)",151934,status
Excluded,age_category5,15.4,15.1,15.8,Grouped,"[30,35)","15.4 (15.1, 15.8)",151934,status
Excluded,age_category5,14,13.7,14.3,Grouped,"[35,40)","14 (13.7, 14.3)",151934,status
Excluded,age_category5,11.4,11.2,11.7,Grouped,"[40,45)","11.4 (11.2, 11.7)",151934,status
Excluded,age_category5,11.2,10.9,11.5,Grouped,"[45,50)","11.2 (10.9, 11.5)",151934,status
Analytic,education,18.2,17.9,18.5,Grouped,Higher,"18.2 (17.9, 18.5)",1149386,status
Analytic,education,18.9,18.7,19.1,Grouped,No education,"18.9 (18.7, 19.1)",1149386,status
Analytic,education,12.8,12.7,13,Grouped,Primary,"12.8 (12.7, 13)",1149386,status
Analytic,education,50.1,49.8,50.3,Grouped,Secondary,"50.1 (49.8, 50.3)",1149386,status
Excluded,education,25.2,24.5,25.9,Grouped,Higher,"25.2 (24.5, 25.9)",151934,status
Excluded,education,14.3,14,14.7,Grouped,No education,"14.3 (14, 14.7)",151934,status
Excluded,education,10.4,10.2,10.7,Grouped,Primary,"10.4 (10.2, 10.7)",151934,status
Excluded,education,50,49.5,50.5,Grouped,Secondary,"50 (49.5, 50.5)",151934,status
Analytic,caste,25.7,25.3,26.1,Grouped,General,"25.7 (25.3, 26.1)",1149386,status
Analytic,caste,41.7,41.2,42.1,Grouped,OBC,"41.7 (41.2, 42.1)",1149386,status
Analytic,caste,22.5,22.1,22.9,Grouped,Schedule Caste,"22.5 (22.1, 22.9)",1149386,status
Analytic,caste,10.2,9.9,10.5,Grouped,Schedule Tribe,"10.2 (9.9, 10.5)",1149386,status
Excluded,caste,30.6,29.7,31.5,Grouped,General,"30.6 (29.7, 31.5)",151934,status
Excluded,caste,41.2,40.4,42,Grouped,OBC,"41.2 (40.4, 42)",151934,status
Excluded,caste,20.8,20.2,21.4,Grouped,Schedule Caste,"20.8 (20.2, 21.4)",151934,status
Excluded,caste,7.4,7,7.8,Grouped,Schedule Tribe,"7.4 (7, 7.8)",151934,status
Analytic,religion,82.4,82,82.9,Grouped,Hindu,"82.4 (82, 82.9)",1149386,status
Analytic,religion,12.4,12,12.9,Grouped,Muslim,"12.4 (12, 12.9)",1149386,status
Analytic,religion,5.1,5,5.3,Grouped,Other,"5.1 (5, 5.3)",1149386,status
Excluded,religion,78.2,77.3,79,Grouped,Hindu,"78.2 (77.3, 79)",151934,status
Excluded,religion,15.6,14.7,16.4,Grouped,Muslim,"15.6 (14.7, 16.4)",151934,status
Excluded,religion,6.3,5.8,6.7,Grouped,Other,"6.3 (5.8, 6.7)",151934,status
Analytic,wealthq_ur,18.7,18.3,19,Grouped,1,"18.7 (18.3, 19)",1149386,status
Analytic,wealthq_ur,20.2,19.9,20.4,Grouped,2,"20.2 (19.9, 20.4)",1149386,status
Analytic,wealthq_ur,20.8,20.5,21,Grouped,3,"20.8 (20.5, 21)",1149386,status
Analytic,wealthq_ur,20.8,20.5,21,Grouped,4,"20.8 (20.5, 21)",1149386,status
Analytic,wealthq_ur,19.6,19.3,19.9,Grouped,5,"19.6 (19.3, 19.9)",1149386,status
Excluded,wealthq_ur,16.5,16,17.1,Grouped,1,"16.5 (16, 17.1)",151934,status
Excluded,wealthq_ur,18.1,17.6,18.6,Grouped,2,"18.1 (17.6, 18.6)",151934,status
Excluded,wealthq_ur,18.9,18.4,19.4,Grouped,3,"18.9 (18.4, 19.4)",151934,status
Excluded,wealthq_ur,21,20.5,21.5,Grouped,4,"21 (20.5, 21.5)",151934,status
Excluded,wealthq_ur,25.4,24.6,26.3,Grouped,5,"25.4 (24.6, 26.3)",151934,status
Analytic,bmi_category,9.7,9.6,9.8,Grouped,Underweight,"9.7 (9.6, 9.8)",689216,status
Analytic,bmi_category,36.5,36.3,36.7,Grouped,Normal,"36.5 (36.3, 36.7)",689216,status
Analytic,bmi_category,11.9,11.7,12,Grouped,Overweight,"11.9 (11.7, 12)",689216,status
Analytic,bmi_category,4.1,4,4.1,Grouped,Obese,"4.1 (4, 4.1)",689216,status
Analytic,bmi_category,37.9,37.7,38.1,Grouped,NA,"37.9 (37.7, 38.1)",689216,status
Excluded,bmi_category,0.2,0.2,0.3,Grouped,Underweight,"0.2 (0.2, 0.3)",2062,status
Excluded,bmi_category,0.8,0.7,0.9,Grouped,Normal,"0.8 (0.7, 0.9)",2062,status
Excluded,bmi_category,0.2,0.2,0.3,Grouped,Overweight,"0.2 (0.2, 0.3)",2062,status
Excluded,bmi_category,0.1,0.1,0.1,Grouped,Obese,"0.1 (0.1, 0.1)",2062,status
Excluded,bmi_category,98.6,98.5,98.7,Grouped,NA,"98.6 (98.5, 98.7)",2062,status
