state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,residence,n5_state,zone
13,htn_unscreened,40.5,37.8,43.2,Proportion,"40.5 (37.8, 43.2)",15649,,NA,Total,Nagaland,North East
13,htn_undiagnosed,82.7,81.2,84.3,Proportion,"82.7 (81.2, 84.3)",15649,,NA,Total,Nagaland,North East
14,htn_unscreened,14.9,13.8,16,Proportion,"14.9 (13.8, 16)",13593,,NA,Total,Manipur,North East
14,htn_undiagnosed,80.1,79,81.2,Proportion,"80.1 (79, 81.2)",13593,,NA,Total,Manipur,North East
15,htn_unscreened,17.8,15.8,19.9,Proportion,"17.8 (15.8, 19.9)",10343,,NA,Total,Mizoram,North East
15,htn_undiagnosed,80.5,78.7,82.3,Proportion,"80.5 (78.7, 82.3)",10343,,NA,Total,Mizoram,North East
16,htn_unscreened,25.3,23.1,27.6,Proportion,"25.3 (23.1, 27.6)",9509,,NA,Total,Tripura,North East
16,htn_undiagnosed,77.3,75.6,79,Proportion,"77.3 (75.6, 79)",9509,,NA,Total,Tripura,North East
17,htn_unscreened,44.3,41.3,47.3,Proportion,"44.3 (41.3, 47.3)",14931,,NA,Total,Meghalaya,North East
17,htn_undiagnosed,86.8,85.4,88.1,Proportion,"86.8 (85.4, 88.1)",14931,,NA,Total,Meghalaya,North East
18,htn_unscreened,29.6,28.4,30.8,Proportion,"29.6 (28.4, 30.8)",45823,,NA,Total,Assam,North East
18,htn_undiagnosed,81.8,81,82.5,Proportion,"81.8 (81, 82.5)",45823,,NA,Total,Assam,North East
19,htn_unscreened,33.8,32.1,35.5,Proportion,"33.8 (32.1, 35.5)",28265,,NA,Total,West Bengal,East
19,htn_undiagnosed,84.9,84.2,85.7,Proportion,"84.9 (84.2, 85.7)",28265,,NA,Total,West Bengal,East
20,htn_unscreened,41.8,40.3,43.3,Proportion,"41.8 (40.3, 43.3)",36044,,NA,Total,Jharkhand,East
20,htn_undiagnosed,84.8,83.6,86.1,Proportion,"84.8 (83.6, 86.1)",36044,,NA,Total,Jharkhand,East
21,htn_unscreened,48.4,47.2,49.6,Proportion,"48.4 (47.2, 49.6)",42186,,NA,Total,Odisha,East
21,htn_undiagnosed,84.8,84,85.7,Proportion,"84.8 (84, 85.7)",42186,,NA,Total,Odisha,East
22,htn_unscreened,39.8,38.1,41.5,Proportion,"39.8 (38.1, 41.5)",42178,,NA,Total,Chhattisgarh,Central
22,htn_undiagnosed,89.6,88.9,90.4,Proportion,"89.6 (88.9, 90.4)",42178,,NA,Total,Chhattisgarh,Central
23,htn_unscreened,46.2,45.1,47.3,Proportion,"46.2 (45.1, 47.3)",67934,,NA,Total,Madhya Pradesh,Central
23,htn_undiagnosed,89.6,89.1,90.1,Proportion,"89.6 (89.1, 90.1)",67934,,NA,Total,Madhya Pradesh,Central
24,htn_unscreened,41.2,39.6,42.8,Proportion,"41.2 (39.6, 42.8)",48032,,NA,Total,Gujarat,West
24,htn_undiagnosed,87.8,87.2,88.3,Proportion,"87.8 (87.2, 88.3)",48032,,NA,Total,Gujarat,West
25,htn_unscreened,31.4,27.3,35.6,Proportion,"31.4 (27.3, 35.6)",3807,,NA,Total,Dadra & Nagar Haveli And Daman & Diu,West
25,htn_undiagnosed,88.8,87.2,90.4,Proportion,"88.8 (87.2, 90.4)",3807,,NA,Total,Dadra & Nagar Haveli And Daman & Diu,West
27,htn_unscreened,35.9,34.4,37.4,Proportion,"35.9 (34.4, 37.4)",52418,,NA,Total,Maharashtra,West
27,htn_undiagnosed,87.4,86.9,87.9,Proportion,"87.4 (86.9, 87.9)",52418,,NA,Total,Maharashtra,West
28,htn_unscreened,24.2,22.7,25.7,Proportion,"24.2 (22.7, 25.7)",15927,,NA,Total,Andhra Pradesh,South
28,htn_undiagnosed,81.3,80.3,82.2,Proportion,"81.3 (80.3, 82.2)",15927,,NA,Total,Andhra Pradesh,South
29,htn_unscreened,35.9,33.9,38,Proportion,"35.9 (33.9, 38)",44144,,NA,Total,Karnataka,South
29,htn_undiagnosed,84.8,83.9,85.7,Proportion,"84.8 (83.9, 85.7)",44144,,NA,Total,Karnataka,South
30,htn_unscreened,11.9,8.9,14.9,Proportion,"11.9 (8.9, 14.9)",2921,,NA,Total,Goa,West
30,htn_undiagnosed,77.4,75.5,79.3,Proportion,"77.4 (75.5, 79.3)",2921,,NA,Total,Goa,West
31,htn_unscreened,5,3.4,6.6,Proportion,"5 (3.4, 6.6)",1903,,NA,Total,Lakshadweep,South
31,htn_undiagnosed,84.6,82.2,86.9,Proportion,"84.6 (82.2, 86.9)",1903,,NA,Total,Lakshadweep,South
32,htn_unscreened,11.1,10.3,12,Proportion,"11.1 (10.3, 12)",19864,,NA,Total,Kerala,South
32,htn_undiagnosed,77,76.2,77.8,Proportion,"77 (76.2, 77.8)",19864,,NA,Total,Kerala,South
33,htn_unscreened,17.5,16.5,18.5,Proportion,"17.5 (16.5, 18.5)",41420,,NA,Total,Tamil Nadu,South
33,htn_undiagnosed,80.5,79.1,81.9,Proportion,"80.5 (79.1, 81.9)",41420,,NA,Total,Tamil Nadu,South
34,htn_unscreened,18.7,15,22.5,Proportion,"18.7 (15, 22.5)",6020,,NA,Total,Puducherry,South
34,htn_undiagnosed,80.3,77.6,83.1,Proportion,"80.3 (77.6, 83.1)",6020,,NA,Total,Puducherry,South
35,htn_unscreened,13,11,15.1,Proportion,"13 (11, 15.1)",4474,,NA,Total,Andaman & Nicobar Islands,South
35,htn_undiagnosed,81.1,79.4,82.9,Proportion,"81.1 (79.4, 82.9)",4474,,NA,Total,Andaman & Nicobar Islands,South
36,htn_unscreened,20.4,19.1,21.6,Proportion,"20.4 (19.1, 21.6)",38563,,NA,Total,Telangana,South
36,htn_undiagnosed,81,80.4,81.6,Proportion,"81 (80.4, 81.6)",38563,,NA,Total,Telangana,South
37,htn_unscreened,20.1,16.5,23.8,Proportion,"20.1 (16.5, 23.8)",3359,,NA,Total,Ladakh,North
37,htn_undiagnosed,73.1,67.2,79,Proportion,"73.1 (67.2, 79)",3359,,NA,Total,Ladakh,North
1,htn_unscreened,17.1,15.6,18.6,Proportion,"17.1 (15.6, 18.6)",16027,sex,Female,Total,Jammu & Kashmir,North
1,htn_undiagnosed,76.3,74.9,77.7,Proportion,"76.3 (74.9, 77.7)",16027,sex,Female,Total,Jammu & Kashmir,North
1,htn_unscreened,26.1,24.3,27.8,Proportion,"26.1 (24.3, 27.8)",16571,sex,Male,Total,Jammu & Kashmir,North
1,htn_undiagnosed,82.1,80.9,83.3,Proportion,"82.1 (80.9, 83.3)",16571,sex,Male,Total,Jammu & Kashmir,North
2,htn_unscreened,14.9,13.6,16.3,Proportion,"14.9 (13.6, 16.3)",8265,sex,Female,Total,Himachal Pradesh,North
2,htn_undiagnosed,74.3,72.7,76,Proportion,"74.3 (72.7, 76)",8265,sex,Female,Total,Himachal Pradesh,North
2,htn_unscreened,30.4,28.4,32.4,Proportion,"30.4 (28.4, 32.4)",8231,sex,Male,Total,Himachal Pradesh,North
2,htn_undiagnosed,86.5,85.3,87.7,Proportion,"86.5 (85.3, 87.7)",8231,sex,Male,Total,Himachal Pradesh,North
3,htn_unscreened,11.3,10.4,12.3,Proportion,"11.3 (10.4, 12.3)",18678,sex,Female,Total,Punjab,North
3,htn_undiagnosed,66.8,65.3,68.4,Proportion,"66.8 (65.3, 68.4)",18678,sex,Female,Total,Punjab,North
3,htn_unscreened,24.3,22.9,25.7,Proportion,"24.3 (22.9, 25.7)",19024,sex,Male,Total,Punjab,North
3,htn_undiagnosed,82.4,81.4,83.4,Proportion,"82.4 (81.4, 83.4)",19024,sex,Male,Total,Punjab,North
4,htn_unscreened,9,4.5,13.5,Proportion,"9 (4.5, 13.5)",475,sex,Female,Total,Chandigarh,North
4,htn_undiagnosed,70.8,63.9,77.7,Proportion,"70.8 (63.9, 77.7)",475,sex,Female,Total,Chandigarh,North
4,htn_unscreened,22.3,16,28.6,Proportion,"22.3 (16, 28.6)",421,sex,Male,Total,Chandigarh,North
4,htn_undiagnosed,86.2,81.6,90.7,Proportion,"86.2 (81.6, 90.7)",421,sex,Male,Total,Chandigarh,North
5,htn_unscreened,21.7,20.2,23.2,Proportion,"21.7 (20.2, 23.2)",10328,sex,Female,Total,Uttarakhand,Central
5,htn_undiagnosed,80,78.6,81.5,Proportion,"80 (78.6, 81.5)",10328,sex,Female,Total,Uttarakhand,Central
5,htn_unscreened,34.2,32.3,36.2,Proportion,"34.2 (32.3, 36.2)",8856,sex,Male,Total,Uttarakhand,Central
5,htn_undiagnosed,86.4,85.3,87.6,Proportion,"86.4 (85.3, 87.6)",8856,sex,Male,Total,Uttarakhand,Central
6,htn_unscreened,15.4,14.5,16.4,Proportion,"15.4 (14.5, 16.4)",16428,sex,Female,Total,Haryana,North
6,htn_undiagnosed,73.8,72.4,75.2,Proportion,"73.8 (72.4, 75.2)",16428,sex,Female,Total,Haryana,North
6,htn_unscreened,34.5,33.2,35.7,Proportion,"34.5 (33.2, 35.7)",16994,sex,Male,Total,Haryana,North
6,htn_undiagnosed,87.1,86.3,88,Proportion,"87.1 (86.3, 88)",16994,sex,Male,Total,Haryana,North
7,htn_unscreened,11.8,10.6,13,Proportion,"11.8 (10.6, 13)",7347,sex,Female,Total,Nct Of Delhi,North
7,htn_undiagnosed,76.7,75.2,78.2,Proportion,"76.7 (75.2, 78.2)",7347,sex,Female,Total,Nct Of Delhi,North
7,htn_unscreened,24.9,23.2,26.7,Proportion,"24.9 (23.2, 26.7)",7678,sex,Male,Total,Nct Of Delhi,North
7,htn_undiagnosed,86.4,85.5,87.4,Proportion,"86.4 (85.5, 87.4)",7678,sex,Male,Total,Nct Of Delhi,North
8,htn_unscreened,33.9,32.5,35.2,Proportion,"33.9 (32.5, 35.2)",28273,sex,Female,Total,Rajasthan,North
8,htn_undiagnosed,83.4,82.3,84.4,Proportion,"83.4 (82.3, 84.4)",28273,sex,Female,Total,Rajasthan,North
8,htn_unscreened,50.8,49.4,52.3,Proportion,"50.8 (49.4, 52.3)",29850,sex,Male,Total,Rajasthan,North
8,htn_undiagnosed,90,89.2,90.8,Proportion,"90 (89.2, 90.8)",29850,sex,Male,Total,Rajasthan,North
9,htn_unscreened,28.6,27.7,29.5,Proportion,"28.6 (27.7, 29.5)",60480,sex,Female,Total,Uttar Pradesh,Central
9,htn_undiagnosed,79.5,78.7,80.3,Proportion,"79.5 (78.7, 80.3)",60480,sex,Female,Total,Uttar Pradesh,Central
9,htn_unscreened,42.7,41.8,43.6,Proportion,"42.7 (41.8, 43.6)",60042,sex,Male,Total,Uttar Pradesh,Central
9,htn_undiagnosed,88.3,87.7,88.9,Proportion,"88.3 (87.7, 88.9)",60042,sex,Male,Total,Uttar Pradesh,Central
10,htn_unscreened,25.6,24.5,26.6,Proportion,"25.6 (24.5, 26.6)",24132,sex,Female,Total,Bihar,East
10,htn_undiagnosed,70,68.5,71.5,Proportion,"70 (68.5, 71.5)",24132,sex,Female,Total,Bihar,East
10,htn_unscreened,42.5,41.3,43.7,Proportion,"42.5 (41.3, 43.7)",21807,sex,Male,Total,Bihar,East
10,htn_undiagnosed,80.9,79.7,82.1,Proportion,"80.9 (79.7, 82.1)",21807,sex,Male,Total,Bihar,East
11,htn_unscreened,19.2,15.9,22.5,Proportion,"19.2 (15.9, 22.5)",2957,sex,Female,Total,Sikkim,North East
11,htn_undiagnosed,75,72,78,Proportion,"75 (72, 78)",2957,sex,Female,Total,Sikkim,North East
11,htn_unscreened,27.8,24.6,31,Proportion,"27.8 (24.6, 31)",3211,sex,Male,Total,Sikkim,North East
11,htn_undiagnosed,82.7,80.7,84.8,Proportion,"82.7 (80.7, 84.8)",3211,sex,Male,Total,Sikkim,North East
12,htn_unscreened,32.4,30.5,34.4,Proportion,"32.4 (30.5, 34.4)",15602,sex,Female,Total,Arunachal Pradesh,North East
12,htn_undiagnosed,83.7,82.4,85.1,Proportion,"83.7 (82.4, 85.1)",15602,sex,Female,Total,Arunachal Pradesh,North East
12,htn_unscreened,39.4,37.3,41.5,Proportion,"39.4 (37.3, 41.5)",17914,sex,Male,Total,Arunachal Pradesh,North East
12,htn_undiagnosed,86.2,85,87.4,Proportion,"86.2 (85, 87.4)",17914,sex,Male,Total,Arunachal Pradesh,North East
13,htn_unscreened,36.6,33.7,39.4,Proportion,"36.6 (33.7, 39.4)",7149,sex,Female,Total,Nagaland,North East
13,htn_undiagnosed,80.9,79,82.8,Proportion,"80.9 (79, 82.8)",7149,sex,Female,Total,Nagaland,North East
13,htn_unscreened,43.8,41,46.6,Proportion,"43.8 (41, 46.6)",8500,sex,Male,Total,Nagaland,North East
13,htn_undiagnosed,84.3,82.6,85.9,Proportion,"84.3 (82.6, 85.9)",8500,sex,Male,Total,Nagaland,North East
14,htn_unscreened,10.3,9.2,11.5,Proportion,"10.3 (9.2, 11.5)",6328,sex,Female,Total,Manipur,North East
14,htn_undiagnosed,78.4,76.9,79.8,Proportion,"78.4 (76.9, 79.8)",6328,sex,Female,Total,Manipur,North East
14,htn_unscreened,18.9,17.4,20.4,Proportion,"18.9 (17.4, 20.4)",7265,sex,Male,Total,Manipur,North East
14,htn_undiagnosed,81.6,80.4,82.8,Proportion,"81.6 (80.4, 82.8)",7265,sex,Male,Total,Manipur,North East
15,htn_unscreened,13.1,11.4,14.9,Proportion,"13.1 (11.4, 14.9)",4365,sex,Female,Total,Mizoram,North East
15,htn_undiagnosed,78.8,76.3,81.3,Proportion,"78.8 (76.3, 81.3)",4365,sex,Female,Total,Mizoram,North East
15,htn_unscreened,21.4,19,23.9,Proportion,"21.4 (19, 23.9)",5978,sex,Male,Total,Mizoram,North East
15,htn_undiagnosed,81.8,80,83.6,Proportion,"81.8 (80, 83.6)",5978,sex,Male,Total,Mizoram,North East
16,htn_unscreened,20.3,17.9,22.7,Proportion,"20.3 (17.9, 22.7)",4569,sex,Female,Total,Tripura,North East
16,htn_undiagnosed,73.6,71.5,75.7,Proportion,"73.6 (71.5, 75.7)",4569,sex,Female,Total,Tripura,North East
16,htn_unscreened,30,27.6,32.4,Proportion,"30 (27.6, 32.4)",4940,sex,Male,Total,Tripura,North East
16,htn_undiagnosed,80.7,78.9,82.5,Proportion,"80.7 (78.9, 82.5)",4940,sex,Male,Total,Tripura,North East
17,htn_unscreened,35.3,31.9,38.7,Proportion,"35.3 (31.9, 38.7)",6905,sex,Female,Total,Meghalaya,North East
17,htn_undiagnosed,82.4,80.3,84.6,Proportion,"82.4 (80.3, 84.6)",6905,sex,Female,Total,Meghalaya,North East
17,htn_unscreened,52.6,49.6,55.6,Proportion,"52.6 (49.6, 55.6)",8026,sex,Male,Total,Meghalaya,North East
17,htn_undiagnosed,90.9,89.7,92.1,Proportion,"90.9 (89.7, 92.1)",8026,sex,Male,Total,Meghalaya,North East
18,htn_unscreened,23.8,22.5,25,Proportion,"23.8 (22.5, 25)",22148,sex,Female,Total,Assam,North East
18,htn_undiagnosed,78.4,77.4,79.4,Proportion,"78.4 (77.4, 79.4)",22148,sex,Female,Total,Assam,North East
18,htn_unscreened,35,33.6,36.3,Proportion,"35 (33.6, 36.3)",23675,sex,Male,Total,Assam,North East
18,htn_undiagnosed,84.9,84.2,85.7,Proportion,"84.9 (84.2, 85.7)",23675,sex,Male,Total,Assam,North East
19,htn_unscreened,26.8,25.1,28.5,Proportion,"26.8 (25.1, 28.5)",13987,sex,Female,Total,West Bengal,East
19,htn_undiagnosed,81.5,80.5,82.4,Proportion,"81.5 (80.5, 82.4)",13987,sex,Female,Total,West Bengal,East
19,htn_unscreened,40.6,38.7,42.5,Proportion,"40.6 (38.7, 42.5)",14278,sex,Male,Total,West Bengal,East
19,htn_undiagnosed,88.3,87.6,89.1,Proportion,"88.3 (87.6, 89.1)",14278,sex,Male,Total,West Bengal,East
20,htn_unscreened,36,34.4,37.5,Proportion,"36 (34.4, 37.5)",17564,sex,Female,Total,Jharkhand,East
20,htn_undiagnosed,82.2,80.8,83.7,Proportion,"82.2 (80.8, 83.7)",17564,sex,Female,Total,Jharkhand,East
20,htn_unscreened,47.3,45.6,48.9,Proportion,"47.3 (45.6, 48.9)",18480,sex,Male,Total,Jharkhand,East
20,htn_undiagnosed,87.3,86.1,88.5,Proportion,"87.3 (86.1, 88.5)",18480,sex,Male,Total,Jharkhand,East
21,htn_unscreened,39.6,38.2,40.9,Proportion,"39.6 (38.2, 40.9)",21174,sex,Female,Total,Odisha,East
21,htn_undiagnosed,80.9,79.9,82,Proportion,"80.9 (79.9, 82)",21174,sex,Female,Total,Odisha,East
21,htn_unscreened,57.3,56,58.7,Proportion,"57.3 (56, 58.7)",21012,sex,Male,Total,Odisha,East
21,htn_undiagnosed,88.8,88.1,89.6,Proportion,"88.8 (88.1, 89.6)",21012,sex,Male,Total,Odisha,East
22,htn_unscreened,33.4,31.7,35.1,Proportion,"33.4 (31.7, 35.1)",20278,sex,Female,Total,Chhattisgarh,Central
22,htn_undiagnosed,87.1,86.1,88.1,Proportion,"87.1 (86.1, 88.1)",20278,sex,Female,Total,Chhattisgarh,Central
22,htn_unscreened,45.6,43.7,47.5,Proportion,"45.6 (43.7, 47.5)",21900,sex,Male,Total,Chhattisgarh,Central
22,htn_undiagnosed,91.9,91.2,92.6,Proportion,"91.9 (91.2, 92.6)",21900,sex,Male,Total,Chhattisgarh,Central
23,htn_unscreened,35.1,33.9,36.3,Proportion,"35.1 (33.9, 36.3)",33165,sex,Female,Total,Madhya Pradesh,Central
23,htn_undiagnosed,86,85.3,86.7,Proportion,"86 (85.3, 86.7)",33165,sex,Female,Total,Madhya Pradesh,Central
23,htn_unscreened,56.7,55.4,57.9,Proportion,"56.7 (55.4, 57.9)",34769,sex,Male,Total,Madhya Pradesh,Central
23,htn_undiagnosed,93,92.5,93.4,Proportion,"93 (92.5, 93.4)",34769,sex,Male,Total,Madhya Pradesh,Central
24,htn_unscreened,33.6,31.9,35.2,Proportion,"33.6 (31.9, 35.2)",23379,sex,Female,Total,Gujarat,West
24,htn_undiagnosed,83.7,82.9,84.5,Proportion,"83.7 (82.9, 84.5)",23379,sex,Female,Total,Gujarat,West
24,htn_unscreened,48,46.2,49.8,Proportion,"48 (46.2, 49.8)",24653,sex,Male,Total,Gujarat,West
24,htn_undiagnosed,91.4,90.8,91.9,Proportion,"91.4 (90.8, 91.9)",24653,sex,Male,Total,Gujarat,West
25,htn_unscreened,24.8,20.7,28.9,Proportion,"24.8 (20.7, 28.9)",1802,sex,Female,Total,Dadra & Nagar Haveli And Daman & Diu,West
25,htn_undiagnosed,85.6,83.1,88,Proportion,"85.6 (83.1, 88)",1802,sex,Female,Total,Dadra & Nagar Haveli And Daman & Diu,West
25,htn_unscreened,36.6,31.8,41.5,Proportion,"36.6 (31.8, 41.5)",2005,sex,Male,Total,Dadra & Nagar Haveli And Daman & Diu,West
25,htn_undiagnosed,91.3,89.6,93,Proportion,"91.3 (89.6, 93)",2005,sex,Male,Total,Dadra & Nagar Haveli And Daman & Diu,West
27,htn_unscreened,27.7,26.1,29.3,Proportion,"27.7 (26.1, 29.3)",25485,sex,Female,Total,Maharashtra,West
27,htn_undiagnosed,83.9,83.2,84.7,Proportion,"83.9 (83.2, 84.7)",25485,sex,Female,Total,Maharashtra,West
27,htn_unscreened,43.2,41.5,44.9,Proportion,"43.2 (41.5, 44.9)",26933,sex,Male,Total,Maharashtra,West
27,htn_undiagnosed,90.5,90,91.1,Proportion,"90.5 (90, 91.1)",26933,sex,Male,Total,Maharashtra,West
28,htn_unscreened,16.6,15.1,18.2,Proportion,"16.6 (15.1, 18.2)",7913,sex,Female,Total,Andhra Pradesh,South
28,htn_undiagnosed,76.4,75.1,77.8,Proportion,"76.4 (75.1, 77.8)",7913,sex,Female,Total,Andhra Pradesh,South
28,htn_unscreened,31.2,29.3,33.1,Proportion,"31.2 (29.3, 33.1)",8014,sex,Male,Total,Andhra Pradesh,South
28,htn_undiagnosed,85.7,84.8,86.7,Proportion,"85.7 (84.8, 86.7)",8014,sex,Male,Total,Andhra Pradesh,South
29,htn_unscreened,29.6,27.5,31.8,Proportion,"29.6 (27.5, 31.8)",21909,sex,Female,Total,Karnataka,South
29,htn_undiagnosed,81.2,80.1,82.3,Proportion,"81.2 (80.1, 82.3)",21909,sex,Female,Total,Karnataka,South
29,htn_unscreened,41.9,39.8,44,Proportion,"41.9 (39.8, 44)",22235,sex,Male,Total,Karnataka,South
29,htn_undiagnosed,88.3,87.4,89.1,Proportion,"88.3 (87.4, 89.1)",22235,sex,Male,Total,Karnataka,South
30,htn_unscreened,8.1,5.2,11,Proportion,"8.1 (5.2, 11)",1466,sex,Female,Total,Goa,West
30,htn_undiagnosed,71.4,68.9,73.9,Proportion,"71.4 (68.9, 73.9)",1466,sex,Female,Total,Goa,West
30,htn_unscreened,15.6,11.6,19.6,Proportion,"15.6 (11.6, 19.6)",1455,sex,Male,Total,Goa,West
30,htn_undiagnosed,83.2,81.3,85.1,Proportion,"83.2 (81.3, 85.1)",1455,sex,Male,Total,Goa,West
31,htn_unscreened,3.1,1.7,4.6,Proportion,"3.1 (1.7, 4.6)",991,sex,Female,Total,Lakshadweep,South
31,htn_undiagnosed,81.6,78.2,85.1,Proportion,"81.6 (78.2, 85.1)",991,sex,Female,Total,Lakshadweep,South
31,htn_unscreened,6.9,4,9.9,Proportion,"6.9 (4, 9.9)",912,sex,Male,Total,Lakshadweep,South
31,htn_undiagnosed,87.6,85.1,90.1,Proportion,"87.6 (85.1, 90.1)",912,sex,Male,Total,Lakshadweep,South
32,htn_unscreened,5.5,4.7,6.4,Proportion,"5.5 (4.7, 6.4)",10359,sex,Female,Total,Kerala,South
32,htn_undiagnosed,71.7,70.5,72.9,Proportion,"71.7 (70.5, 72.9)",10359,sex,Female,Total,Kerala,South
32,htn_unscreened,16.6,15.2,17.9,Proportion,"16.6 (15.2, 17.9)",9505,sex,Male,Total,Kerala,South
32,htn_undiagnosed,82.2,81.3,83.1,Proportion,"82.2 (81.3, 83.1)",9505,sex,Male,Total,Kerala,South
33,htn_unscreened,11.7,10.7,12.7,Proportion,"11.7 (10.7, 12.7)",20424,sex,Female,Total,Tamil Nadu,South
33,htn_undiagnosed,75.4,73.7,77.1,Proportion,"75.4 (73.7, 77.1)",20424,sex,Female,Total,Tamil Nadu,South
33,htn_unscreened,22.7,21.5,23.9,Proportion,"22.7 (21.5, 23.9)",20996,sex,Male,Total,Tamil Nadu,South
33,htn_undiagnosed,85.1,83.9,86.2,Proportion,"85.1 (83.9, 86.2)",20996,sex,Male,Total,Tamil Nadu,South
34,htn_unscreened,13.3,10,16.7,Proportion,"13.3 (10, 16.7)",2995,sex,Female,Total,Puducherry,South
34,htn_undiagnosed,77.2,73.1,81.4,Proportion,"77.2 (73.1, 81.4)",2995,sex,Female,Total,Puducherry,South
34,htn_unscreened,23.1,18.5,27.8,Proportion,"23.1 (18.5, 27.8)",3025,sex,Male,Total,Puducherry,South
34,htn_undiagnosed,82.9,80.2,85.6,Proportion,"82.9 (80.2, 85.6)",3025,sex,Male,Total,Puducherry,South
35,htn_unscreened,7.3,5.5,9.1,Proportion,"7.3 (5.5, 9.1)",2001,sex,Female,Total,Andaman & Nicobar Islands,South
35,htn_undiagnosed,76.6,73.8,79.4,Proportion,"76.6 (73.8, 79.4)",2001,sex,Female,Total,Andaman & Nicobar Islands,South
35,htn_unscreened,17.4,14.5,20.2,Proportion,"17.4 (14.5, 20.2)",2473,sex,Male,Total,Andaman & Nicobar Islands,South
35,htn_undiagnosed,84.6,82.7,86.5,Proportion,"84.6 (82.7, 86.5)",2473,sex,Male,Total,Andaman & Nicobar Islands,South
36,htn_unscreened,16.3,15,17.5,Proportion,"16.3 (15, 17.5)",19070,sex,Female,Total,Telangana,South
36,htn_undiagnosed,77.3,76.4,78.1,Proportion,"77.3 (76.4, 78.1)",19070,sex,Female,Total,Telangana,South
36,htn_unscreened,24.2,22.7,25.6,Proportion,"24.2 (22.7, 25.6)",19493,sex,Male,Total,Telangana,South
36,htn_undiagnosed,84.4,83.7,85.2,Proportion,"84.4 (83.7, 85.2)",19493,sex,Male,Total,Telangana,South
37,htn_unscreened,16,12.4,19.6,Proportion,"16 (12.4, 19.6)",1612,sex,Female,Total,Ladakh,North
37,htn_undiagnosed,72.5,66.2,78.7,Proportion,"72.5 (66.2, 78.7)",1612,sex,Female,Total,Ladakh,North
37,htn_unscreened,24,19.7,28.4,Proportion,"24 (19.7, 28.4)",1747,sex,Male,Total,Ladakh,North
37,htn_undiagnosed,73.7,67.8,79.5,Proportion,"73.7 (67.8, 79.5)",1747,sex,Male,Total,Ladakh,North
